string_field_0,string_field_1
Bishop,Inyo
Arvin,Kern
Bakersfield,Kern
California City,Kern
Delano,Kern
Maricopa,Kern
McFarland,Kern
Ridgecrest,Kern
Shafter,Kern
Taft,Kern
Tehachapi,Kern
Wasco,Kern
Clearlake,Lake
Lakeport,Lake
Mammoth Lakes,Mono
American Canyon,Napa
Calistoga,Napa
Napa,Napa
St. Helena,Napa
Yountville,Napa
Davis,Yolo
West Sacramento,Yolo
Winters,Yolo
Woodland,Yolo
Marysville,Yuba
Wheatland,Yuba
Biggs,Butte
Chico,Butte
Gridley,Butte
Oroville,Butte
Paradise,Butte
Orland,Glenn
Willows,Glenn
Avenal,Kings
Corcoran,Kings
Hanford,Kings
Lemoore,Kings
Belvedere,Marin
Corte Madera,Marin
Fairfax,Marin
Larkspur,Marin
Mill Valley,Marin
Novato,Marin
Ross,Marin
San Anselmo,Marin
San Rafael,Marin
Sausalito,Marin
Tiburon,Marin
Alturas,Modoc
Amador City,Amador
Ione,Amador
Jackson,Amador
Plymouth,Amador
Sutter Creek,Amador
Colusa,Colusa
Williams,Colusa
Clovis,Fresno
Coalinga,Fresno
Firebaugh,Fresno
Fowler,Fresno
Fresno,Fresno
Huron,Fresno
Kerman,Fresno
Kingsburg,Fresno
Mendota,Fresno
Orange Cove,Fresno
Parlier,Fresno
Reedley,Fresno
San Joaquin,Fresno
Sanger,Fresno
Selma,Fresno
Susanville,Lassen
Chowchilla,Madera
Madera,Madera
Atwater,Merced
Dos Palos,Merced
Gustine,Merced
Livingston,Merced
Los Banos,Merced
Merced,Merced
Grass Valley,Nevada
Nevada City,Nevada
Truckee,Nevada
Aliso Viejo,Orange
Anaheim,Orange
Brea,Orange
Buena Park,Orange
Costa Mesa,Orange
Cypress,Orange
Dana Point,Orange
Fountain Valley,Orange
Fullerton,Orange
Garden Grove,Orange
Huntington Beach,Orange
Irvine,Orange
La Habra,Orange
La Palma,Orange
Laguna Beach,Orange
Laguna Hills,Orange
Laguna Niguel,Orange
Laguna Woods,Orange
Lake Forest,Orange
Los Alamitos,Orange
Mission Viejo,Orange
Newport Beach,Orange
Orange,Orange
Placentia,Orange
Rancho Santa Margarita,Orange
San Clemente,Orange
San Juan Capistrano,Orange
Santa Ana,Orange
Seal Beach,Orange
Stanton,Orange
Tustin,Orange
Villa Park,Orange
Westminster,Orange
Yorba Linda,Orange
Auburn,Placer
Colfax,Placer
Lincoln,Placer
Loomis,Placer
Rocklin,Placer
Roseville,Placer
Portola,Plumas
Anderson,Shasta
Redding,Shasta
Shasta Lake,Shasta
Loyalton,Sierra
Benicia,Solano
Dixon,Solano
Fairfield,Solano
Rio Vista,Solano
Suisun City,Solano
Vacaville,Solano
Vallejo,Solano
Cloverdale,Sonoma
Cotati,Sonoma
Healdsburg,Sonoma
Petaluma,Sonoma
Rohnert Park,Sonoma
Santa Rosa,Sonoma
Sebastopol,Sonoma
Sonoma,Sonoma
Windsor,Sonoma
Live Oak,Sutter
Yuba City,Sutter
Corning,Tehama
Red Bluff,Tehama
Tehama,Tehama
Dinuba,Tulare
Exeter,Tulare
Farmersville,Tulare
Lindsay,Tulare
Porterville,Tulare
Tulare,Tulare
Visalia,Tulare
Woodlake,Tulare
Alameda,Alameda
Albany,Alameda
Berkeley,Alameda
Dublin,Alameda
Emeryville,Alameda
Fremont,Alameda
Hayward,Alameda
Livermore,Alameda
Newark,Alameda
Oakland,Alameda
Piedmont,Alameda
Pleasanton,Alameda
San Leandro,Alameda
Union City,Alameda
Camarillo,Ventura
Fillmore,Ventura
Moorpark,Ventura
Ojai,Ventura
Oxnard,Ventura
Port Hueneme,Ventura
Santa Paula,Ventura
Simi Valley,Ventura
Thousand Oaks,Ventura
Ventura,Ventura
Arcata,Humboldt
Blue Lake,Humboldt
Eureka,Humboldt
Ferndale,Humboldt
Fortuna,Humboldt
Rio Dell,Humboldt
Trinidad,Humboldt
Brawley,Imperial
Calexico,Imperial
Calipatria,Imperial
El Centro,Imperial
Holtville,Imperial
Imperial,Imperial
Westmorland,Imperial
Carmel-by-the-Sea,Monterey
Del Rey Oaks,Monterey
Gonzales,Monterey
Greenfield,Monterey
King City,Monterey
Marina,Monterey
Monterey,Monterey
Pacific Grove,Monterey
Salinas,Monterey
Sand City,Monterey
Seaside,Monterey
Soledad,Monterey
Dorris,Siskiyou
Dunsmuir,Siskiyou
Etna,Siskiyou
Fort Jones,Siskiyou
Montague,Siskiyou
Mount Shasta,Siskiyou
Tulelake,Siskiyou
Weed,Siskiyou
Yreka,Siskiyou
Sonora,Tuolumne
Angels Camp,Calaveras
Crescent City,Del Norte
Placerville,El Dorado
South Lake Tahoe,El Dorado
Fort Bragg,Mendocino
Point Arena,Mendocino
Ukiah,Mendocino
Willits,Mendocino
Banning,Riverside
Beaumont,Riverside
Blythe,Riverside
Calimesa,Riverside
Canyon Lake,Riverside
Cathedral City,Riverside
Coachella,Riverside
Corona,Riverside
Desert Hot Springs,Riverside
Eastvale,Riverside
Hemet,Riverside
Indian Wells,Riverside
Indio,Riverside
Jurupa Valley,Riverside
La Quinta,Riverside
Lake Elsinore,Riverside
Menifee,Riverside
Moreno Valley,Riverside
Murrieta,Riverside
Norco,Riverside
Palm Desert,Riverside
Palm Springs,Riverside
Perris,Riverside
Rancho Mirage,Riverside
Riverside,Riverside
San Jacinto,Riverside
Temecula,Riverside
Wildomar,Riverside
Carlsbad,San Diego
Chula Vista,San Diego
Coronado,San Diego
Del Mar,San Diego
El Cajon,San Diego
Encinitas,San Diego
Escondido,San Diego
Imperial Beach,San Diego
La Mesa,San Diego
Lemon Grove,San Diego
National City,San Diego
Oceanside,San Diego
Poway,San Diego
San Diego,San Diego
San Marcos,San Diego
Santee,San Diego
Solana Beach,San Diego
Vista,San Diego
Atherton,San Mateo
Belmont,San Mateo
Brisbane,San Mateo
Burlingame,San Mateo
Colma,San Mateo
Daly City,San Mateo
East Palo Alto,San Mateo
Foster City,San Mateo
Half Moon Bay,San Mateo
Hillsborough,San Mateo
Menlo Park,San Mateo
Millbrae,San Mateo
Pacifica,San Mateo
Portola Valley,San Mateo
Redwood City,San Mateo
San Bruno,San Mateo
San Carlos,San Mateo
San Mateo,San Mateo
South San Francisco,San Mateo
Woodside,San Mateo
Citrus Heights,Sacramento
Elk Grove,Sacramento
Folsom,Sacramento
Galt,Sacramento
Isleton,Sacramento
Rancho Cordova,Sacramento
Sacramento,Sacramento
Hollister,San Benito
San Juan Bautista,San Benito
Capitola,Santa Cruz
Santa Cruz,Santa Cruz
Scotts Valley,Santa Cruz
Watsonville,Santa Cruz
Ceres,Stanislaus
Hughson,Stanislaus
Modesto,Stanislaus
Newman,Stanislaus
Oakdale,Stanislaus
Patterson,Stanislaus
Riverbank,Stanislaus
Turlock,Stanislaus
Waterford,Stanislaus
Agoura Hills,Los Angeles
Alhambra,Los Angeles
Arcadia,Los Angeles
Artesia,Los Angeles
Avalon,Los Angeles
Azusa,Los Angeles
Baldwin Park,Los Angeles
Bell,Los Angeles
Bell Gardens,Los Angeles
Bellflower,Los Angeles
Beverly Hills,Los Angeles
Bradbury,Los Angeles
Burbank,Los Angeles
Calabasas,Los Angeles
Carson,Los Angeles
Cerritos,Los Angeles
Claremont,Los Angeles
Commerce,Los Angeles
Compton,Los Angeles
Covina,Los Angeles
Cudahy,Los Angeles
Culver City,Los Angeles
Diamond Bar,Los Angeles
Downey,Los Angeles
Duarte,Los Angeles
El Monte,Los Angeles
El Segundo,Los Angeles
Gardena,Los Angeles
Glendale,Los Angeles
Glendora,Los Angeles
Hawaiian Gardens,Los Angeles
Hawthorne,Los Angeles
Hermosa Beach,Los Angeles
Hidden Hills,Los Angeles
Huntington Park,Los Angeles
Industry,Los Angeles
Inglewood,Los Angeles
Irwindale,Los Angeles
La Cañada Flintridge,Los Angeles
La Habra Heights,Los Angeles
La Mirada,Los Angeles
La Puente,Los Angeles
La Verne,Los Angeles
Lakewood,Los Angeles
Lancaster,Los Angeles
Lawndale,Los Angeles
Lomita,Los Angeles
Long Beach,Los Angeles
Los Angeles,Los Angeles
Lynwood,Los Angeles
Malibu,Los Angeles
Manhattan Beach,Los Angeles
Maywood,Los Angeles
